+---------------+------+--------+-------+-------------+
|   series id   | year | period | value |  footnotes  |
| CEU5051320007 | 2019 |  M01   |  37.2 |             |
| CEU5051320007 | 2018 |  M12   |  40.0 |             |
| CEU5051320007 | 2018 |  M11   |  38.0 |             |
| CEU5051320007 | 2018 |  M10   |  37.7 |             |
| CEU5051320007 | 2018 |  M09   |  40.1 |             |
| CEU5051320007 | 2018 |  M08   |  38.4 |             |
| CEU5051320007 | 2018 |  M07   |  39.6 |             |
| CEU5051320007 | 2018 |  M06   |  37.7 |             |
| CEU5051320007 | 2018 |  M05   |  37.6 |             |
| CEU5051320007 | 2018 |  M04   |  39.9 |             |
| CEU5051320007 | 2018 |  M03   |  37.6 |             |
| CEU5051320007 | 2018 |  M02   |  37.8 |             |
| CEU5051320007 | 2018 |  M01   |  36.9 |             |
| CEU5051320007 | 2017 |  M12   |  37.1 |             |
| CEU5051320007 | 2017 |  M11   |  36.7 |             |
| CEU5051320007 | 2017 |  M10   |  38.3 |             |
| CEU5051320007 | 2017 |  M09   |  37.7 |             |
| CEU5051320007 | 2017 |  M08   |  37.4 |             |
| CEU5051320007 | 2017 |  M07   |  39.3 |             |
| CEU5051320007 | 2017 |  M06   |  37.9 |             |
| CEU5051320007 | 2017 |  M05   |  38.0 |             |
| CEU5051320007 | 2017 |  M04   |  39.6 |             |
| CEU5051320007 | 2017 |  M03   |  37.6 |             |
| CEU5051320007 | 2017 |  M02   |  37.8 |             |
| CEU5051320007 | 2017 |  M01   |  38.6 |             |
| CEU5051320007 | 2016 |  M12   |  36.9 |             |
| CEU5051320007 | 2016 |  M11   |  37.1 |             |
| CEU5051320007 | 2016 |  M10   |  38.7 |             |
| CEU5051320007 | 2016 |  M09   |  37.1 |             |
| CEU5051320007 | 2016 |  M08   |  37.3 |             |
| CEU5051320007 | 2016 |  M07   |  37.8 |             |
| CEU5051320007 | 2016 |  M06   |  37.6 |             |
| CEU5051320007 | 2016 |  M05   |  39.2 |             |
| CEU5051320007 | 2016 |  M04   |  38.6 |             |
| CEU5051320007 | 2016 |  M03   |  38.1 |             |
| CEU5051320007 | 2016 |  M02   |  38.8 |             |
| CEU5051320007 | 2016 |  M01   |  38.3 |             |
+---------------+------+--------+-------+-------------+
